yage,yjs,ymi        ,ypsh,ywith,ydfh,ytwy,yyatco,ywlb,yattr
43  ,4  ,0.822432859,14  ,0    ,6   ,21  ,1     ,2   ,0
43  ,3  ,0.245918905,13  ,7    ,9   ,10  ,8     ,3   ,0
27  ,1  ,0.107003686,11  ,2    ,2   ,5   ,4     ,3   ,1
21  ,3  ,0.12838336 ,11  ,2    ,22  ,3   ,3     ,3   ,0
44  ,4  ,0.974407583,12  ,1    ,3   ,26  ,2     ,4   ,0
22  ,3  ,0.092890995,20  ,2    ,6   ,3   ,2     ,3   ,0
33  ,3  ,0.320958399,12  ,2    ,8   ,6   ,5     ,3   ,0
34  ,4  ,0.088572933,12  ,8    ,1   ,10  ,10    ,2   ,0
37  ,3  ,0.443654555,15  ,8    ,3   ,10  ,10    ,3   ,0
35  ,4  ,0.296840442,13  ,8    ,6   ,17  ,17    ,3   ,0
33  ,4  ,0.353659821,23  ,7    ,6   ,15  ,13    ,1   ,0
54  ,2  ,0.511637704,15  ,1    ,19  ,16  ,9     ,4   ,0
36  ,2  ,0.412743549,11  ,2    ,9   ,13  ,3     ,3   ,0
27  ,4  ,0.054555029,13  ,1    ,3   ,5   ,4     ,3   ,0
20  ,3  ,0          ,11  ,1    ,10  ,1   ,1     ,3   ,1
33  ,1  ,0.12317009 ,11  ,7    ,3   ,10  ,10    ,3   ,1
35  ,3  ,0.014323328,18  ,0    ,3   ,1   ,1     ,3   ,0
23  ,1  ,0.095313323,16  ,2    ,4   ,5   ,3     ,4   ,0
25  ,2  ,0.202317009,22  ,2    ,8   ,4   ,3     ,3   ,0
29  ,4  ,0.090100053,18  ,8    ,1   ,10  ,10    ,3   ,0
48  ,2  ,0.374460242,12  ,2    ,2   ,12  ,2     ,3   ,0
37  ,4  ,0.19331227 ,17  ,0    ,10  ,4   ,1     ,3   ,0
50  ,3  ,0.116482359,11  ,8    ,28  ,20  ,20    ,3   ,0
32  ,4  ,0.231016324,12  ,8    ,10  ,10  ,10    ,2   ,0
50  ,3  ,0.304739336,14  ,3    ,8   ,18  ,4     ,3   ,1
47  ,1  ,0.208056872,12  ,7    ,14  ,20  ,7     ,3   ,0
40  ,1  ,0.49847288 ,21  ,12   ,5   ,20  ,18    ,3   ,0
53  ,3  ,0.726961559,19  ,3    ,7   ,32  ,5     ,3   ,0
41  ,4  ,0.954818325,15  ,6    ,10  ,23  ,21    ,2   ,0
60  ,1  ,0.231490258,14  ,2    ,16  ,10  ,2     ,3   ,0
27  ,1  ,0.409899947,21  ,7    ,10  ,9   ,9     ,2   ,0
41  ,3  ,0.957345972,12  ,10   ,1   ,22  ,22    ,3   ,0
50  ,2  ,0.150921538,15  ,2    ,8   ,4   ,2     ,3   ,0
44  ,3  ,0.142127435,14  ,4    ,24  ,9   ,5     ,3   ,0
30  ,4  ,0.226171669,23  ,7    ,27  ,10  ,8     ,2   ,0
29  ,3  ,0.085992628,11  ,0    ,10  ,1   ,1     ,3   ,0
42  ,3  ,0.092153765,12  ,2    ,19  ,7   ,2     ,3   ,1
43  ,4  ,0.305160611,18  ,2    ,15  ,7   ,2     ,3   ,0
23  ,1  ,0.078515008,14  ,2    ,9   ,5   ,4     ,4   ,0
56  ,4  ,0.531542917,11  ,1    ,9   ,30  ,10    ,2   ,0
29  ,2  ,0.067825171,14  ,2    ,10  ,2   ,2     ,3   ,0
53  ,4  ,0.075882043,17  ,2    ,6   ,19  ,2     ,3   ,0
32  ,4  ,0.226434966,15  ,7    ,24  ,10  ,10    ,3   ,0
38  ,3  ,0.107846235,13  ,1    ,2   ,6   ,1     ,1   ,0
52  ,1  ,0.834491838,11  ,16   ,3   ,34  ,34    ,4   ,0
33  ,4  ,0.088309637,13  ,8    ,1   ,10  ,10    ,2   ,1
45  ,3  ,0.296103212,13  ,1    ,2   ,9   ,8     ,3   ,0
23  ,3  ,0.131437599,18  ,2    ,10  ,2   ,2     ,3   ,0
34  ,4  ,0.277251185,22  ,4    ,2   ,6   ,6     ,3   ,0
55  ,1  ,0.992627699,13  ,4    ,2   ,24  ,5     ,3   ,1
36  ,1  ,0.346392838,15  ,9    ,8   ,10  ,10    ,3   ,0
52  ,4  ,0.171090047,18  ,2    ,19  ,5   ,4     ,3   ,0
26  ,1  ,0.227330174,17  ,2    ,8   ,6   ,4     ,2   ,1
27  ,4  ,0.175513428,19  ,1    ,8   ,5   ,4     ,3   ,0
30  ,3  ,0.148709847,21  ,2    ,1   ,7   ,2     ,3   ,0
42  ,4  ,0.917377567,13  ,9    ,8   ,24  ,24    ,2   ,0
23  ,1  ,0.031174302,21  ,0    ,6   ,1   ,0     ,3   ,1
24  ,2  ,0.088730911,11  ,0    ,9   ,1   ,1     ,3   ,0
50  ,3  ,0.875724065,16  ,3    ,2   ,30  ,4     ,3   ,0
33  ,3  ,0.562506582,11  ,7    ,7   ,14  ,13    ,4   ,0
29  ,3  ,0.089046867,24  ,7    ,23  ,10  ,10    ,3   ,0
58  ,2  ,0.960347551,12  ,8    ,2   ,40  ,31    ,3   ,1
28  ,3  ,0.1776198  ,17  ,1    ,2   ,5   ,2     ,2   ,1
36  ,2  ,0.05971564 ,13  ,4    ,13  ,8   ,5     ,3   ,0
40  ,3  ,0.215113217,14  ,0    ,16  ,10  ,1     ,3   ,0
42  ,2  ,0.180358083,13  ,8    ,29  ,10  ,9     ,2   ,0
38  ,1  ,0.277988415,15  ,2    ,12  ,13  ,4     ,2   ,0
55  ,4  ,0.218588731,16  ,3    ,2   ,12  ,9     ,2   ,1
43  ,1  ,0.850447604,24  ,0    ,14  ,22  ,4     ,3   ,0
27  ,4  ,0.621327014,16  ,8    ,5   ,9   ,9     ,3   ,0
35  ,3  ,0.48509742 ,21  ,6    ,7   ,17  ,8     ,4   ,0
34  ,4  ,0.143654555,19  ,2    ,3   ,4   ,3     ,1   ,0
27  ,4  ,0.036703528,11  ,0    ,3   ,0   ,0     ,2   ,0
44  ,2  ,0.259294365,12  ,3    ,4   ,10  ,5     ,2   ,0
25  ,1  ,0.127172196,13  ,1    ,2   ,6   ,4     ,2   ,0
33  ,1  ,0.159452343,22  ,8    ,1   ,9   ,9     ,3   ,0
36  ,4  ,0.273407056,14  ,11   ,1   ,18  ,18    ,2   ,0
32  ,4  ,0.178725645,11  ,3    ,13  ,8   ,5     ,2   ,0
30  ,4  ,0.144918378,12  ,3    ,5   ,10  ,5     ,2   ,0
45  ,1  ,0.513533439,12  ,2    ,9   ,18  ,5     ,3   ,0
37  ,3  ,0.280410742,19  ,0    ,16  ,9   ,1     ,3   ,0
28  ,4  ,0.206793049,13  ,4    ,8   ,6   ,5     ,3   ,0
22  ,4  ,0.198314903,22  ,2    ,1   ,4   ,2     ,1   ,0
44  ,4  ,0.095260664,24  ,2    ,8   ,10  ,3     ,2   ,0
42  ,4  ,0.079304897,14  ,2    ,2   ,8   ,2     ,3   ,0
36  ,1  ,0.070194839,21  ,3    ,8   ,6   ,5     ,3   ,0
25  ,1  ,0.167719853,18  ,3    ,3   ,5   ,5     ,3   ,0
32  ,4  ,0.068720379,12  ,2    ,1   ,4   ,3     ,3   ,0
25  ,1  ,0.170984729,12  ,3    ,4   ,5   ,5     ,4   ,0
24  ,4  ,0.113375461,17  ,4    ,4   ,6   ,5     ,2   ,0
32  ,2  ,0.290416008,14  ,3    ,5   ,10  ,10    ,3   ,0
38  ,2  ,0.099526066,19  ,2    ,9   ,3   ,2     ,3   ,0
31  ,4  ,0.07093207 ,19  ,2    ,11  ,8   ,6     ,3   ,0
53  ,4  ,0.57014218 ,14  ,2    ,8   ,28  ,2     ,3   ,0
35  ,2  ,0.521011058,16  ,8    ,25  ,16  ,13    ,3   ,0
37  ,2  ,0.3492891  ,13  ,9    ,19  ,10  ,10    ,3   ,0
50  ,1  ,0.890731964,11  ,7    ,2   ,31  ,31    ,3   ,0
33  ,2  ,0.066771985,11  ,3    ,3   ,7   ,4     ,4   ,0
32  ,4  ,0.0940495  ,24  ,1    ,25  ,1   ,1     ,1   ,1
44  ,1  ,0.081621906,13  ,1    ,9   ,8   ,8     ,3   ,0
28  ,4  ,0.205318589,14  ,2    ,5   ,4   ,4     ,3   ,0
58  ,4  ,0.072195893,14  ,0    ,2   ,3   ,1     ,2   ,1
36  ,4  ,0.293680885,17  ,11   ,14  ,17  ,16    ,2   ,0
39  ,1  ,0.073459716,21  ,2    ,6   ,8   ,2     ,1   ,1
34  ,2  ,0.052606635,14  ,0    ,10  ,1   ,1     ,3   ,0
33  ,1  ,0.094260137,11  ,2    ,1   ,6   ,3     ,3   ,0
31  ,3  ,0.069510269,15  ,2    ,7   ,13  ,7     ,4   ,0
48  ,3  ,0.065824118,17  ,0    ,20  ,13  ,0     ,2   ,0
36  ,4  ,0.193206951,18  ,1    ,7   ,8   ,6     ,3   ,0
25  ,2  ,0.073933649,18  ,0    ,19  ,1   ,1     ,3   ,1
40  ,2  ,0.457925224,12  ,0    ,10  ,11  ,1     ,2   ,0
26  ,1  ,0.172985782,12  ,7    ,1   ,7   ,7     ,3   ,0
41  ,1  ,0.195471301,13  ,17   ,6   ,20  ,18    ,3   ,0
36  ,3  ,0.079515534,21  ,9    ,2   ,16  ,11    ,3   ,0
19  ,2  ,0.058557135,13  ,0    ,21  ,1   ,1     ,4   ,1
20  ,1  ,0.103422854,19  ,0    ,4   ,1   ,1     ,3   ,1
40  ,2  ,0.13733544 ,14  ,0    ,9   ,3   ,1     ,3   ,0
36  ,4  ,0.490573986,11  ,7    ,3   ,16  ,16    ,3   ,1
37  ,3  ,0.505529226,11  ,7    ,1   ,17  ,14    ,1   ,1
45  ,2  ,0.181042654,12  ,8    ,4   ,9   ,9     ,2   ,0
52  ,4  ,0.847288046,15  ,8    ,1   ,26  ,9     ,2   ,0
58  ,3  ,0.077409163,24  ,0    ,2   ,7   ,1     ,3   ,1
53  ,3  ,0.728962612,13  ,2    ,2   ,22  ,17    ,4   ,0
30  ,3  ,0.329383886,11  ,7    ,8   ,10  ,8     ,4   ,0
35  ,4  ,0.358820432,13  ,8    ,3   ,12  ,10    ,3   ,0
39  ,3  ,0.361822012,18  ,7    ,2   ,9   ,8     ,3   ,0
47  ,3  ,0.213691417,19  ,7    ,16  ,20  ,19    ,4   ,0
36  ,4  ,0.214323328,13  ,7    ,8   ,12  ,7     ,3   ,0
31  ,1  ,0.069088994,22  ,2    ,9   ,4   ,3     ,3   ,1
33  ,3  ,0.865455503,11  ,0    ,17  ,10  ,10    ,3   ,0
50  ,4  ,0.863085835,22  ,3    ,1   ,32  ,5     ,2   ,0
41  ,3  ,0.969457609,17  ,11   ,9   ,21  ,18    ,4   ,0
45  ,1  ,0.138177988,15  ,8    ,23  ,9   ,9     ,3   ,0
50  ,3  ,0.682675092,18  ,5    ,24  ,22  ,12    ,3   ,0
38  ,3  ,0.088204318,17  ,2    ,10  ,3   ,2     ,2   ,0
46  ,3  ,0.517956819,13  ,7    ,7   ,13  ,8     ,3   ,0
35  ,2  ,0.143970511,24  ,2    ,14  ,5   ,4     ,1   ,1
18  ,4  ,0.00221169 ,15  ,0    ,5   ,0   ,0     ,3   ,0
26  ,4  ,0.235018431,12  ,3    ,2   ,8   ,8     ,3   ,0
22  ,1  ,0.075934702,15  ,1    ,8   ,4   ,4     ,2   ,0
48  ,3  ,0.17014218 ,13  ,2    ,6   ,19  ,2     ,3   ,0
48  ,3  ,0.526066351,14  ,8    ,4   ,27  ,15    ,3   ,0
35  ,4  ,0.153133228,20  ,2    ,10  ,3   ,3     ,2   ,0
42  ,3  ,0.910689837,13  ,0    ,5   ,21  ,1     ,4   ,0
50  ,4  ,0.072195893,18  ,0    ,9   ,8   ,1     ,3   ,0
55  ,2  ,0.283096367,14  ,7    ,18  ,17  ,8     ,3   ,0
38  ,4  ,0.308162191,12  ,0    ,3   ,19  ,1     ,3   ,0
26  ,1  ,0.208530806,18  ,2    ,29  ,7   ,2     ,3   ,1
34  ,4  ,0.45897841 ,11  ,9    ,1   ,16  ,15    ,2   ,0
59  ,4  ,0.573723012,14  ,4    ,1   ,14  ,6     ,1   ,0
45  ,2  ,0.061506056,16  ,4    ,24  ,6   ,6     ,3   ,0
36  ,3  ,0.201421801,14  ,0    ,15  ,9   ,1     ,2   ,1
26  ,1  ,0.054397051,14  ,2    ,2   ,6   ,3     ,3   ,1
28  ,2  ,0.00226435 ,22  ,0    ,10  ,1   ,1     ,3   ,0
38  ,3  ,0.095418641,16  ,2    ,3   ,8   ,2     ,3   ,0
50  ,3  ,0.959873618,11  ,7    ,2   ,29  ,8     ,2   ,0
40  ,1  ,0.388994207,14  ,5    ,26  ,8   ,7     ,2   ,0
46  ,4  ,0.980410742,17  ,2    ,1   ,23  ,2     ,3   ,0
55  ,1  ,0.829225908,15  ,2    ,2   ,31  ,9     ,4   ,0
43  ,4  ,0.515481833,13  ,0    ,25  ,18  ,1     ,3   ,0
51  ,3  ,0.076461295,12  ,7    ,4   ,18  ,10    ,4   ,1
28  ,1  ,0.406161137,12  ,9    ,24  ,10  ,10    ,2   ,1
26  ,1  ,0.155134281,16  ,3    ,1   ,6   ,5     ,3   ,0
30  ,1  ,0.471195366,15  ,2    ,20  ,7   ,6     ,2   ,0
40  ,4  ,0.490416008,20  ,1    ,20  ,14  ,11    ,3   ,0
27  ,3  ,0.190205371,19  ,2    ,8   ,3   ,3     ,3   ,0
55  ,2  ,0.524855187,18  ,2    ,2   ,23  ,3     ,3   ,0
44  ,1  ,0.498841496,14  ,6    ,1   ,24  ,20    ,3   ,1
33  ,4  ,0.321748289,15  ,2    ,5   ,9   ,3     ,3   ,0
35  ,1  ,0.451448131,22  ,7    ,4   ,9   ,8     ,3   ,1
28  ,3  ,0.063085835,16  ,2    ,15  ,4   ,4     ,2   ,0
34  ,4  ,0.355292259,17  ,4    ,3   ,7   ,6     ,2   ,0
25  ,4  ,0.141232227,15  ,6    ,4   ,7   ,7     ,4   ,1
26  ,3  ,0.072037915,20  ,0    ,21  ,1   ,1     ,2   ,1
33  ,2  ,0.06866772 ,20  ,2    ,25  ,5   ,2     ,3   ,1
42  ,1  ,0.877093207,17  ,7    ,2   ,23  ,22    ,3   ,0
28  ,2  ,0.0835703  ,15  ,0    ,1   ,1   ,1     ,3   ,1
50  ,3  ,0.195839916,14  ,0    ,1   ,5   ,0     ,3   ,1
34  ,4  ,0.10373881 ,17  ,0    ,3   ,6   ,0     ,3   ,0
48  ,4  ,0.836018957,22  ,1    ,1   ,27  ,5     ,2   ,0
52  ,2  ,0.496893102,19  ,0    ,7   ,18  ,8     ,3   ,0
38  ,3  ,0.407109005,14  ,7    ,10  ,9   ,8     ,3   ,0
46  ,3  ,0.866561348,12  ,9    ,3   ,23  ,12    ,3   ,0
38  ,2  ,0.333965245,16  ,0    ,2   ,10  ,1     ,3   ,0
39  ,4  ,0.587677725,11  ,5    ,2   ,21  ,18    ,3   ,1
40  ,3  ,0.980358083,14  ,9    ,14  ,21  ,20    ,4   ,0
39  ,2  ,0.304002106,15  ,3    ,9   ,9   ,5     ,2   ,0
36  ,4  ,0.356503423,20  ,9    ,18  ,18  ,11    ,3   ,0
31  ,4  ,0.093838863,12  ,2    ,20  ,3   ,2     ,3   ,0
28  ,2  ,0.115429173,17  ,4    ,2   ,6   ,5     ,1   ,0
35  ,4  ,0.208478146,11  ,2    ,11  ,5   ,5     ,3   ,0
49  ,2  ,0.637756714,17  ,3    ,8   ,22  ,9     ,3   ,0
34  ,3  ,0.159241706,11  ,2    ,2   ,5   ,3     ,2   ,0
42  ,4  ,0.171827278,19  ,0    ,29  ,16  ,1     ,3   ,0
29  ,4  ,0.213112164,15  ,2    ,8   ,10  ,10    ,2   ,0
38  ,3  ,0.096629805,13  ,0    ,1   ,7   ,7     ,4   ,0
28  ,3  ,0.089204845,14  ,2    ,6   ,3   ,3     ,3   ,0
18  ,3  ,0.047130068,12  ,0    ,8   ,0   ,0     ,3   ,1
41  ,4  ,0.197840969,11  ,0    ,12  ,6   ,1     ,3   ,0
31  ,3  ,0.08430753 ,12  ,2    ,15  ,2   ,2     ,2   ,1
27  ,3  ,0.08056872 ,13  ,2    ,6   ,4   ,4     ,3   ,0
35  ,3  ,0.174512902,17  ,4    ,8   ,6   ,5     ,1   ,0
42  ,1  ,0.671353344,12  ,14   ,12  ,22  ,21    ,2   ,1
42  ,1  ,0.218325434,13  ,5    ,4   ,9   ,6     ,4   ,0
35  ,3  ,0.065771459,12  ,7    ,1   ,10  ,8     ,3   ,0
24  ,2  ,0.136282254,22  ,2    ,24  ,6   ,4     ,3   ,0
26  ,4  ,0.179620853,22  ,7    ,3   ,8   ,8     ,3   ,0
30  ,3  ,0.29325961 ,18  ,4    ,10  ,10  ,10    ,3   ,0
35  ,2  ,0.487888362,18  ,4    ,2   ,15  ,7     ,4   ,0
34  ,1  ,0.228225382,20  ,9    ,1   ,14  ,13    ,3   ,0
35  ,4  ,0.071985255,13  ,2    ,4   ,2   ,2     ,4   ,0
19  ,1  ,0.081253291,25  ,0    ,9   ,1   ,1     ,3   ,0
20  ,3  ,0.106582412,12  ,2    ,3   ,2   ,2     ,2   ,0
44  ,3  ,0.10147446 ,11  ,2    ,10  ,6   ,6     ,3   ,1
22  ,4  ,0.097103739,11  ,0    ,3   ,1   ,0     ,3   ,1
44  ,3  ,0.067456556,13  ,0    ,17  ,6   ,0     ,3   ,0
33  ,3  ,0.136440232,13  ,4    ,2   ,5   ,5     ,3   ,0
41  ,1  ,0.057819905,17  ,0    ,5   ,5   ,1     ,1   ,1
30  ,1  ,0.163559768,19  ,3    ,29  ,8   ,4     ,3   ,0
40  ,2  ,0.174723539,12  ,0    ,2   ,5   ,0     ,3   ,0
28  ,1  ,0.115165877,12  ,3    ,19  ,6   ,6     ,3   ,0
46  ,2  ,0.951658768,11  ,3    ,15  ,25  ,4     ,3   ,0
35  ,1  ,0.419010005,15  ,7    ,17  ,15  ,7     ,3   ,0
36  ,3  ,0.091205898,14  ,7    ,6   ,7   ,7     ,3   ,0
30  ,3  ,0.130700369,13  ,9    ,7   ,10  ,10    ,2   ,0
44  ,4  ,0.185992628,25  ,17   ,29  ,20  ,20    ,3   ,0
20  ,4  ,0.087888362,17  ,2    ,21  ,2   ,2     ,3   ,0
46  ,4  ,0.335439705,11  ,4    ,2   ,12  ,6     ,2   ,0
42  ,1  ,0.277145866,16  ,3    ,2   ,10  ,4     ,4   ,0
60  ,4  ,0.221748289,18  ,9    ,7   ,12  ,11    ,3   ,0
33  ,4  ,0.09331227 ,13  ,10   ,9   ,15  ,14    ,3   ,0
25  ,4  ,0.207530279,14  ,1    ,10  ,5   ,4     ,3   ,0
30  ,2  ,0.135334387,21  ,7    ,1   ,12  ,11    ,3   ,0
27  ,1  ,0.064560295,14  ,8    ,14  ,9   ,9     ,2   ,0
54  ,4  ,0.883096367,14  ,9    ,3   ,36  ,10    ,3   ,0
31  ,1  ,0.30668773 ,12  ,1    ,11  ,6   ,6     ,2   ,0
43  ,4  ,0.986361243,14  ,7    ,3   ,25  ,8     ,3   ,0
49  ,3  ,0.932174829,13  ,0    ,4   ,23  ,1     ,4   ,0
36  ,2  ,0.141284887,12  ,7    ,3   ,12  ,11    ,2   ,0
48  ,2  ,0.081621906,11  ,0    ,2   ,7   ,1     ,2   ,0
27  ,3  ,0.079410216,11  ,3    ,4   ,5   ,5     ,3   ,0
29  ,4  ,0.295629279,11  ,0    ,7   ,6   ,6     ,3   ,0
48  ,4  ,0.908688784,12  ,0    ,1   ,25  ,1     ,4   ,0
44  ,2  ,0.9059505  ,11  ,10   ,5   ,26  ,22    ,3   ,0
33  ,3  ,0.388151659,14  ,8    ,10  ,10  ,9     ,3   ,0
23  ,3  ,0.011269089,22  ,1    ,1   ,1   ,1     ,3   ,0
25  ,4  ,0.005739863,14  ,0    ,24  ,1   ,1     ,3   ,1
26  ,4  ,0.098262243,20  ,2    ,4   ,8   ,8     ,2   ,0
55  ,2  ,0.661822012,15  ,0    ,8   ,34  ,33    ,3   ,0
51  ,2  ,0.991995787,24  ,10   ,9   ,31  ,29    ,2   ,0
59  ,4  ,0.500421274,12  ,4    ,18  ,25  ,9     ,2   ,0
28  ,3  ,0.060294892,11  ,2    ,1   ,5   ,4     ,2   ,0
44  ,1  ,0.957398631,14  ,13   ,4   ,26  ,25    ,2   ,0
34  ,2  ,0.183307004,11  ,8    ,11  ,14  ,10    ,4   ,0
35  ,3  ,0.131490258,14  ,2    ,6   ,4   ,3     ,3   ,0
28  ,4  ,0.150500263,12  ,2    ,2   ,2   ,2     ,3   ,0
28  ,1  ,0.056398104,11  ,2    ,1   ,5   ,3     ,2   ,0
32  ,4  ,0.273828331,15  ,8    ,8   ,10  ,10    ,4   ,0
58  ,3  ,0.071774618,12  ,2    ,23  ,2   ,2     ,3   ,0
32  ,3  ,0.204002106,18  ,1    ,7   ,10  ,10    ,3   ,1
39  ,1  ,0.152448657,13  ,3    ,23  ,6   ,5     ,3   ,1
40  ,2  ,0.425750395,12  ,0    ,25  ,9   ,5     ,3   ,1
52  ,2  ,0.391627172,19  ,7    ,5   ,10  ,8     ,2   ,1
39  ,3  ,0.185624013,11  ,7    ,18  ,9   ,8     ,3   ,0
41  ,2  ,0.270774092,13  ,9    ,10  ,19  ,19    ,3   ,0
44  ,1  ,0.071248025,12  ,2    ,3   ,10  ,3     ,4   ,1
42  ,3  ,0.887414429,13  ,10   ,2   ,21  ,20    ,2   ,0
56  ,2  ,0.985150079,14  ,7    ,8   ,36  ,7     ,3   ,0
40  ,3  ,0.133491311,16  ,0    ,16  ,6   ,4     ,3   ,0
34  ,4  ,0.394470774,11  ,6    ,9   ,10  ,9     ,2   ,0
40  ,4  ,0.192311743,13  ,8    ,2   ,9   ,9     ,3   ,0
35  ,3  ,0.170616114,11  ,1    ,4   ,9   ,9     ,3   ,0
51  ,2  ,0.685466035,11  ,10   ,5   ,33  ,33    ,3   ,0
25  ,4  ,0.140073723,11  ,2    ,19  ,7   ,3     ,2   ,0
40  ,2  ,0.072564508,22  ,3    ,1   ,7   ,4     ,3   ,0
48  ,4  ,0.362769879,11  ,8    ,4   ,11  ,10    ,3   ,0
27  ,4  ,0.213902054,20  ,0    ,2   ,8   ,6     ,3   ,0
55  ,3  ,0.668035808,17  ,8    ,13  ,24  ,19    ,2   ,1
56  ,2  ,0.652606635,12  ,9    ,23  ,33  ,19    ,3   ,0
34  ,3  ,0.232754081,13  ,7    ,29  ,10  ,8     ,3   ,0
38  ,3  ,0.08430753 ,11  ,3    ,7   ,4   ,4     ,3   ,0
28  ,1  ,0.195629279,11  ,4    ,26  ,5   ,5     ,3   ,0
31  ,3  ,0.272248552,15  ,7    ,22  ,10  ,10    ,2   ,1
39  ,4  ,0.269141654,12  ,4    ,21  ,8   ,5     ,4   ,0
51  ,2  ,0.504844655,11  ,2    ,2   ,14  ,4     ,3   ,0
37  ,3  ,0.104634018,15  ,3    ,4   ,8   ,6     ,3   ,0
33  ,4  ,0.473354397,13  ,2    ,5   ,8   ,5     ,4   ,0
32  ,2  ,0.161611374,13  ,2    ,2   ,4   ,3     ,2   ,0
39  ,3  ,0.521906266,21  ,5    ,25  ,13  ,6     ,3   ,0
25  ,3  ,0.275039494,11  ,2    ,18  ,6   ,3     ,2   ,0
26  ,4  ,0.152448657,12  ,1    ,2   ,5   ,4     ,3   ,0
35  ,4  ,0.439863086,11  ,2    ,18  ,10  ,2     ,3   ,0
25  ,4  ,0.116903633,11  ,2    ,1   ,7   ,3     ,2   ,0
26  ,1  ,0.135281727,12  ,7    ,7   ,8   ,7     ,3   ,0
